id,answer,baseline_prediction,tong_prediction,baseline_correct,tong_correct,tong_gain_vs_baseline,tong_loss_vs_baseline,parse_status,tong_status,query,trace_sha256,trace_chars,prompt_sha256
4dbec546,611,611,611,True,True,False,False,ok,ok,06+65,ada3a56c63cd8b9f34bc01df3fed1cf87b334c9ed7d3ae9c2656b7d8e18b2c10,10340,cd50f63987c58b73550f7f72ba9aa000573db0e9c861954a4091c16929ceb48f
0e009c6d,`?\!,@?`?,,False,False,False,False,ok,no_trace,@?'`?,,0,e8f4e40c00a910d81e12c89f1da977d2d9ca38df80669ee1a64a43cda72fe2fb
b4b73143,>\:,>!!/,,False,False,False,False,ok,no_trace,>!%!/,,0,d71bb304389058400fb32dcee84be991637487fbeabe6967aa5fc120de79e144
861cb154,2271,10,10,False,False,False,False,ok,ok,14!24,58f8f7f575fdf69101e19c39aeccd2806f51b61f606eda6b83990fd3ae4210f3,10977,57cba5acbba5bff2501444779f0a068cf1d7c7ca31ce3ab371cd82b7f265bbde
90feb0c5,:<],?>>>,,False,False,False,False,ok,no_trace,?>'>>,,0,c85224f5b2fa123266a6fe1400177f0fc8354b59e87b876cacb6cf5e6748d5a6
c541eb82,-01,-01,-01,True,True,False,False,ok,ok,47-48,8c18c8a5a987650e19fef4b3851a16dea2a6d2a2015ce58f0e27bb1553fa357d,11316,40c51b3e27dfef7562fbe5e4afd451176a0a1b7f6171ae84abe07a599b674bdd
b9f1d959,:>,"$""\[""",,False,False,False,False,ok,no_trace,"$\+""[",,0,ab816a38097d4c5a32070c3a0cba55566884d067e5139268995a59cfeb174d5e
ca5db1c0,^,"(""'|",,False,False,False,False,ok,no_trace,"(""-'|",,0,680d0b65077eb52a0282dc153371e62ec9a12369e4de0b417c5c1e35d73cdf96
9f1ff166,[,"""]'/",,False,False,False,False,ok,no_trace,"""]-'/",,0,c75f6a4df10c58af8398167ad88bc831343b6a12b7d6d121de4322251443ff82
432b1110,%[:?,\{<?,,False,False,False,False,ok,no_trace,\{*<?,,0,c2c18df87e6bf8d1f1f9e189df82b4d717a295e4c80409b32746622958fa0f52
f333b67f,100,100,100,True,True,False,False,ok,ok,48<51,522aa880a63bed0c718aece1d6b99e365ef6371141c7a614966663e23f51e8ca,10089,da0531d1a8f8e527954b74ef1bbdf5cf91851dfa10ea3649cd2be3fa29fdf729
f7d26b8d,/@,[}}\,,False,False,False,False,ok,no_trace,[}-}\,,0,ad792106ddfc2e9258789ca3737efd0e1874941110a392f9a1ae19c8f04c3959
8e56a42e,%/<>,%/<>,,True,False,False,False,ok,no_trace,%/[<>,,0,9c2cada193af4d41b0f4b48ea6d2596979a172880b33dd3fd30b6f971e0307e6
20f0fac9,2976,65,65,False,False,False,False,ok,ok,31%96,fa1cc3332c389900bed597e776e0172533d78ad637f18f96db88b3447673c56a,11494,99f9832788063c4ec73ed1120152b40bc71b16ccb7c786a10d754e534f6a5247
26e48e98,){|,"""%]%{""",,False,False,False,False,ok,no_trace,"""])%{",,0,81ce362b80697cb47207581fa17ab9ccc8d3922deaf14387b2550ae460bec852
5501c054,[#>#,!##^,,False,False,False,False,ok,no_trace,!#$#^,,0,9815d9c59eb8e19487dd8b48443947ca7467ce0228e869b2bdf050c740ea4f88
ea6d926a,87,37,37,False,False,False,False,ok,ok,25+62,90769bd3ac42df0b392a421b407f6b2df8871dc0c0bb4740d885b9cc648131ce,10820,a4ebb6a75de39cf1da6dd4743ac9ed8c2704b969580a3199e1ca472f555fdd35
