id,family,baseline_prediction,postprocessed_prediction,postprocessor_applied,postprocessor_rule,postprocessor_proof,baseline_correct,postprocessed_correct,gain,loss,wrong_on_baseline_miss
0c2407ef,bit_manipulation,11000011,11000011,False,not_attempted,non-equation row,True,True,False,False,False
939273d7,bit_manipulation,11100110,11100110,False,not_attempted,non-equation row,True,True,False,False,False
8082a958,bit_manipulation,00000000,00000000,False,not_attempted,non-equation row,True,True,False,False,False
fd48ee2f,bit_manipulation,10110100,10110100,False,not_attempted,non-equation row,True,True,False,False,False
4eb990f6,bit_manipulation,00000001,00000001,False,not_attempted,non-equation row,True,True,False,False,False
85af23eb,bit_manipulation,00001111,00001111,False,not_attempted,non-equation row,True,True,False,False,False
0e009c6d,equation_transform,@?`?,@?`?,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d2ac699b,bit_manipulation,10001011,10001011,False,not_attempted,non-equation row,True,True,False,False,False
b4b73143,equation_transform,>!!/,>!!/,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
3a148f6a,bit_manipulation,00100111,00100111,False,not_attempted,non-equation row,True,True,False,False,False
861cb154,equation_transform,10,10,False,query_operator_unseen,query_op='!' not present in examples,False,False,False,False,False
90feb0c5,equation_transform,?>>>,?>>>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
c541eb82,equation_transform,-01,-01,False,minus_model_not_opposite_sign,candidate=-01; baseline=-01,True,True,False,False,False
b9f1d959,equation_transform,"$""\[""","$""\[""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
5374b4ba,bit_manipulation,10101100,10101100,False,not_attempted,non-equation row,True,True,False,False,False
ca5db1c0,equation_transform,"(""'|","(""'|",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
16e73f0e,bit_manipulation,00000001,00000001,False,not_attempted,non-equation row,True,True,False,False,False
87007054,bit_manipulation,10111111,10111111,False,not_attempted,non-equation row,True,True,False,False,False
b8aa3072,bit_manipulation,00000111,00000111,False,not_attempted,non-equation row,False,False,False,False,False
9f1ff166,equation_transform,"""]'/","""]'/",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
82ae858c,bit_manipulation,11111101,11111101,False,not_attempted,non-equation row,False,False,False,False,False
1282c5c5,bit_manipulation,00001110,00001110,False,not_attempted,non-equation row,True,True,False,False,False
432b1110,equation_transform,\{<?,\{<?,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
f333b67f,equation_transform,100,100,False,operator_not_guarded,query_op='<',True,True,False,False,False
f7d26b8d,equation_transform,[}}\,[}}\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
5ba26f21,bit_manipulation,01111110,01111110,False,not_attempted,non-equation row,False,False,False,False,False
a00fe76a,bit_manipulation,10111011,10111011,False,not_attempted,non-equation row,True,True,False,False,False
8e56a42e,equation_transform,%/<>,%/<>,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
0e3962f6,bit_manipulation,11111110,11111110,False,not_attempted,non-equation row,True,True,False,False,False
20f0fac9,equation_transform,65,65,False,query_operator_unseen,query_op='%' not present in examples,False,False,False,False,False
26e48e98,equation_transform,"""%]%{""","""%]%{""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
0290f51a,bit_manipulation,10101111,10101111,False,not_attempted,non-equation row,True,True,False,False,False
c30a782a,bit_manipulation,01000110,01000110,False,not_attempted,non-equation row,True,True,False,False,False
3d24aef4,bit_manipulation,10100101,10100101,False,not_attempted,non-equation row,True,True,False,False,False
5501c054,equation_transform,!##^,!##^,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
ea6d926a,equation_transform,37,37,False,query_operator_unseen,query_op='+' not present in examples,False,False,False,False,False
