answer,baseline_correct,baseline_prediction,candidate_correct,checked_loo,condition,example_count,id,prediction,program_kind,proof,query,reason,source_name,source_positions,status
:<],False,?>>>,False,,,3,90feb0c5,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",?>'>>,no_conditioned_symbolic_program,,"""""",abstain
-01,True,-01,False,,,4,c541eb82,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",47-48,no_conditioned_symbolic_program,,"""""",abstain
:>,False,"$""\[""",False,,,5,b9f1d959,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}","$\+""[",no_conditioned_symbolic_program,,"""""",abstain
^,False,"\boxed({""'|})",False,,,3,ca5db1c0,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}","(""-'|",no_conditioned_symbolic_program,,"""""",abstain
[,False,"""]'/",False,,,4,9f1ff166,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}","""]-'/",no_conditioned_symbolic_program,,"""""",abstain
%[:?,False,\{<?,False,,,4,432b1110,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",\{*<?,no_conditioned_symbolic_program,,"""""",abstain
100,True,100,False,,,4,f333b67f,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",48<51,no_conditioned_symbolic_program,,"""""",abstain
/@,False,[}}\,False,,,5,f7d26b8d,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",[}-}\,no_conditioned_symbolic_program,,"""""",abstain
%/<>,True,%/<>,False,,,3,8e56a42e,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",%/[<>,no_conditioned_symbolic_program,,"""""",abstain
2976,False,65,False,,,4,20f0fac9,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",31%96,no_conditioned_symbolic_program,,"""""",abstain
){|,False,"""%]%{""",False,,,5,26e48e98,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}","""])%{",no_conditioned_symbolic_program,,"""""",abstain
[#>#,False,!##^,False,,,5,5501c054,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",!#$#^,no_conditioned_symbolic_program,,"""""",abstain
87,False,37,False,,,4,ea6d926a,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",25+62,no_conditioned_symbolic_program,,"""""",abstain
