ref,score,bit_family,equation_family,bit_ops,equation_ops,solver,training,inference,safety,chars,path
xduan7/nemotron-bit-verifier-replace-memcheck,113,3,1,6,3,4,0,29,16,10533,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-bit-verifier-replace-memcheck
dnglethnh/data-dyn-d3-positional,112,0,0,28,0,0,0,0,0,5072,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d3-positional
leehoangquan006/data-dyn-d3-recurrence,112,0,0,28,0,0,0,0,0,5072,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d3-recurrence
quan242/nemotron-baseline-evaluation,112,0,0,5,1,7,0,50,3,17330,artifacts\v527_kaggle_code_audit\pulled_code\quan242__nemotron-baseline-evaluation
thunvng/data-dyn-d3-lookup,112,0,0,28,0,0,0,0,0,5068,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d3-lookup
prashantmhaske123/training-with-unsloth-to-achieve-0-85-lb,111,0,0,18,2,0,14,1,2,18125,artifacts\v527_kaggle_code_audit\pulled_code\prashantmhaske123__training-with-unsloth-to-achieve-0-85-lb
comistrymo/nvidia-nemotron-training-cot-labels,110,0,0,22,0,0,9,0,4,11944,artifacts\v527_kaggle_code_audit\pulled_code\comistrymo__nvidia-nemotron-training-cot-labels
nhatlong1103/haunet-gpu-rtx,110,0,0,22,5,0,0,0,2,30744,artifacts\v527_kaggle_code_audit\pulled_code\nhatlong1103__haunet-gpu-rtx
ganesan21ece97/notebook110acfc687,109,4,0,15,0,0,15,0,7,24163,artifacts\v527_kaggle_code_audit\pulled_code\ganesan21ece97__notebook110acfc687
konstantinboyko/01-04-training-with-unsloth-batch-2-epoch-2,109,0,0,18,2,0,13,1,2,16640,artifacts\v527_kaggle_code_audit\pulled_code\konstantinboyko__01-04-training-with-unsloth-batch-2-epoch-2
dnglethnh/data-dyn-d2-f0p5,108,0,0,27,0,0,0,0,0,4710,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d2-f0p5
hngliththu/cdsmote-final-test1,108,0,0,21,0,0,12,0,0,7955,artifacts\v527_kaggle_code_audit\pulled_code\hngliththu__cdsmote-final-test1
hngliththu/lo-lightgbm-dask-final,108,0,0,8,17,0,4,0,0,14012,artifacts\v527_kaggle_code_audit\pulled_code\hngliththu__lo-lightgbm-dask-final
leehoangquan006/data-dyn-d2-f0p25,108,0,0,27,0,0,0,0,0,4711,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d2-f0p25
ringustheimp/nemo-finetune,108,0,0,7,0,0,33,0,14,29689,artifacts\v527_kaggle_code_audit\pulled_code\ringustheimp__nemo-finetune
sanchitgarg999/multimodel,108,0,0,8,18,0,0,0,4,25083,artifacts\v527_kaggle_code_audit\pulled_code\sanchitgarg999__multimodel
thunvng/data-dyn-d2-f0p75,108,0,0,27,0,0,0,0,0,4711,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d2-f0p75
hlly34/nemotron-baseline-evaluation,107,0,0,5,1,6,0,50,3,16317,artifacts\v527_kaggle_code_audit\pulled_code\hlly34__nemotron-baseline-evaluation
jiazhuang/nemotron-local-cv,107,0,0,5,1,6,0,50,3,17374,artifacts\v527_kaggle_code_audit\pulled_code\jiazhuang__nemotron-local-cv
tamgujoa/training-with-unsloth,107,0,0,18,2,0,12,1,2,16090,artifacts\v527_kaggle_code_audit\pulled_code\tamgujoa__training-with-unsloth
mah20050/nvidia-nemotron-the-wonderland-nsa,105,2,0,16,0,0,13,7,2,40749,artifacts\v527_kaggle_code_audit\pulled_code\mah20050__nvidia-nemotron-the-wonderland-nsa
minhhoiphan/data-mine-nemotron-data,103,2,2,13,0,5,7,0,0,22775,artifacts\v527_kaggle_code_audit\pulled_code\minhhoiphan__data-mine-nemotron-data
xduan7/nemotron-bit-verifier-append-eval,103,3,1,6,3,2,0,29,16,10808,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-bit-verifier-append-eval
xduan7/nemotron-bit-verifier-replace-eval,103,3,1,6,3,2,0,29,16,10808,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-bit-verifier-replace-eval
xduan7/nemotron-concat-only-diagnostic-eval,103,3,1,6,3,2,0,29,16,10808,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-concat-only-diagnostic-eval
xduan7/nemotron-concat-only-diagnostic-memcheck,103,3,1,6,3,2,0,29,16,10539,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-concat-only-diagnostic-memcheck
xduan7/nemotron-deterministic-cot-moe-tied-lora-eval,103,3,1,6,3,2,0,29,16,10886,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-deterministic-cot-moe-tied-lora-eval
xduan7/nemotron-dgxchen-repro-eval,103,3,1,6,3,2,0,29,16,10808,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-dgxchen-repro-eval
xduan7/nemotron-symbolic-eq-corpus-inject-eval,103,3,1,6,3,2,0,29,16,10808,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-symbolic-eq-corpus-inject-eval
xduan7/nemotron-symbolic-eq-memcheck-eval,103,3,1,6,3,2,0,29,16,10534,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-symbolic-eq-memcheck-eval
adityaghai01/nemotron-adapter-via-kaggle-agent-ps-0-66,101,0,0,20,0,0,9,0,3,13604,artifacts\v527_kaggle_code_audit\pulled_code\adityaghai01__nemotron-adapter-via-kaggle-agent-ps-0-66
koushikrudra/nvidia-9500-step-training,101,0,0,19,0,0,9,0,7,19813,artifacts\v527_kaggle_code_audit\pulled_code\koushikrudra__nvidia-9500-step-training
kenilv/nvidia-nemotron-submission-demo,100,2,0,9,8,0,8,2,8,12601,artifacts\v527_kaggle_code_audit\pulled_code\kenilv__nvidia-nemotron-submission-demo
sarcasmos/nvidia-nemotron-model-reasoning-challenge,99,9,0,18,0,0,0,0,0,40391,artifacts\v527_kaggle_code_audit\pulled_code\sarcasmos__nvidia-nemotron-model-reasoning-challenge
bbobwayne/nemotron-lora32-r1-tier-1-heuristic-baseline,98,0,0,12,2,0,0,0,42,31985,artifacts\v527_kaggle_code_audit\pulled_code\bbobwayne__nemotron-lora32-r1-tier-1-heuristic-baseline
dennislanov/nvidia-nemotron-submission-v2,98,0,0,15,0,0,10,10,8,17094,artifacts\v527_kaggle_code_audit\pulled_code\dennislanov__nvidia-nemotron-submission-v2
jal313/nvidia-nemotron-training-cot-labels-70ddae,98,0,0,19,0,0,9,0,4,10814,artifacts\v527_kaggle_code_audit\pulled_code\jal313__nvidia-nemotron-training-cot-labels-70ddae
javihm77/nvidia-nemotron-sfttrainer-training-jh,98,3,3,14,1,0,8,1,3,13064,artifacts\v527_kaggle_code_audit\pulled_code\javihm77__nvidia-nemotron-sfttrainer-training-jh
kienngx/nvidia-nemotron-training-copy-run-instantly,98,0,0,19,0,0,9,0,4,10364,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nvidia-nemotron-training-copy-run-instantly
cmirani/nemotron-lora-fine-tuning-pipeline,97,1,0,16,1,0,11,0,4,14654,artifacts\v527_kaggle_code_audit\pulled_code\cmirani__nemotron-lora-fine-tuning-pipeline
waterjoe/fork-of-nvidia-nemotron-sft-grpo-trainer,97,2,1,16,0,0,10,1,3,16176,artifacts\v527_kaggle_code_audit\pulled_code\waterjoe__fork-of-nvidia-nemotron-sft-grpo-trainer
anhtran10/radius-smote-test-2,96,0,0,18,0,0,12,0,0,7182,artifacts\v527_kaggle_code_audit\pulled_code\anhtran10__radius-smote-test-2
mayukh18/unsloth-sft-full-data-training,96,0,0,12,1,2,10,9,5,14389,artifacts\v527_kaggle_code_audit\pulled_code\mayukh18__unsloth-sft-full-data-training
skripsipesolmokelar/fork-of-oracle-full-run-desire-create-allies-norm,95,0,0,12,11,0,0,0,3,41311,artifacts\v527_kaggle_code_audit\pulled_code\skripsipesolmokelar__fork-of-oracle-full-run-desire-create-allies-norm
javihm77/nemotron-cot-validation-jh,94,3,3,4,1,6,0,24,2,14807,artifacts\v527_kaggle_code_audit\pulled_code\javihm77__nemotron-cot-validation-jh
kienngx/nvidia-nemotron-training-cot-labels,94,0,0,18,0,0,9,0,4,10511,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nvidia-nemotron-training-cot-labels
krishnagupta02468/tinker-submission-notebook,94,0,0,4,2,2,11,23,15,15291,artifacts\v527_kaggle_code_audit\pulled_code\krishnagupta02468__tinker-submission-notebook
rezaazami/0-64-nvidia-nemotron-training,94,0,0,18,0,0,9,0,4,10507,artifacts\v527_kaggle_code_audit\pulled_code\rezaazami__0-64-nvidia-nemotron-training
jeffreypikeai/nemotron-supervised-tuning,92,1,1,12,0,0,14,5,5,21200,artifacts\v527_kaggle_code_audit\pulled_code\jeffreypikeai__nemotron-supervised-tuning
sakhawathossen/nemotron-reasoning-boost-hf-qlora-trainer,92,0,0,16,0,2,7,0,4,16010,artifacts\v527_kaggle_code_audit\pulled_code\sakhawathossen__nemotron-reasoning-boost-hf-qlora-trainer
hammadfarooq470/nvidia-nemotron-reasoning,91,0,0,14,2,0,7,10,3,16155,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-reasoning
ksk872/nvidia-initial,91,0,0,17,3,0,5,0,1,11888,artifacts\v527_kaggle_code_audit\pulled_code\ksk872__nvidia-initial
skripsipesolmokelar/fork-of-oracle-full-run-desire-create-allies,91,0,0,11,11,0,0,0,3,41308,artifacts\v527_kaggle_code_audit\pulled_code\skripsipesolmokelar__fork-of-oracle-full-run-desire-create-allies
gerwynng/eda-by-claude-opus-4-6-1m-context,90,12,10,4,0,0,1,0,6,18481,artifacts\v527_kaggle_code_audit\pulled_code\gerwynng__eda-by-claude-opus-4-6-1m-context
felipe1983/kg1-top1-100x-double-check-20260412,89,1,1,7,8,0,0,0,23,7892,artifacts\v527_kaggle_code_audit\pulled_code\felipe1983__kg1-top1-100x-double-check-20260412
a14iiiii/vllm-tpu,88,2,0,15,1,0,0,18,0,5327,artifacts\v527_kaggle_code_audit\pulled_code\a14iiiii__vllm-tpu
impooping/generate-cots-labels,88,1,0,21,0,0,0,0,1,6491,artifacts\v527_kaggle_code_audit\pulled_code\impooping__generate-cots-labels
rauffauzanrambe/nvidia-next-gen-reasoning-ai-for-deep-learning,88,0,0,17,0,0,8,0,4,15825,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-next-gen-reasoning-ai-for-deep-learning
amanatar/nvidia-nemotron-sfttrainer-training,86,0,0,15,0,0,12,0,2,14605,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nvidia-nemotron-sfttrainer-training
dnglethnh/data-dyn-d10-dclm,85,0,0,21,0,0,0,0,1,3754,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d10-dclm
dnglethnh/data-dyn-d11-fw,85,0,0,21,0,0,0,0,1,3752,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d11-fw
harshitakumari256/notebook633554d240,85,0,0,10,0,2,9,11,6,13775,artifacts\v527_kaggle_code_audit\pulled_code\harshitakumari256__notebook633554d240
leehoangquan006/data-dyn-d10-fw,85,0,0,21,0,0,0,0,1,3752,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d10-fw
leehoangquan006/data-dyn-d11-code,85,0,0,21,0,0,0,0,1,3754,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d11-code
nhtdngtrn/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,85,1,1,12,2,0,9,0,5,14283,artifacts\v527_kaggle_code_audit\pulled_code\nhtdngtrn__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
thunvng/data-dyn-d10-code,85,0,0,21,0,0,0,0,1,3754,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d10-code
thunvng/data-dyn-d11-dclm,85,0,0,21,0,0,0,0,1,3754,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d11-dclm
xduan7/nemotron-moe-tied-lora-eval-scout,85,3,1,3,3,2,0,29,10,10155,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-moe-tied-lora-eval-scout
jiazhuang/nemotron-mainstream-llm-performance-comparison,84,0,0,2,0,14,0,1,5,9654,artifacts\v527_kaggle_code_audit\pulled_code\jiazhuang__nemotron-mainstream-llm-performance-comparison
trishanthmellimi/phase-1-and-3-aggressive,83,0,0,15,1,0,7,0,5,8535,artifacts\v527_kaggle_code_audit\pulled_code\trishanthmellimi__phase-1-and-3-aggressive
vhmbhjfhgdgfx/cct-baseline2-test,83,0,0,20,0,0,0,1,2,22172,artifacts\v527_kaggle_code_audit\pulled_code\vhmbhjfhgdgfx__cct-baseline2-test
yashanathaniel/nvidia-nemotron-training,83,0,0,16,0,0,5,0,9,14004,artifacts\v527_kaggle_code_audit\pulled_code\yashanathaniel__nvidia-nemotron-training
datatemple/run24-050326,82,4,2,8,2,0,7,2,8,18729,artifacts\v527_kaggle_code_audit\pulled_code\datatemple__run24-050326
nikitagajbhiye30/nvidia-cpu-00,82,6,5,4,0,6,1,0,1,15124,artifacts\v527_kaggle_code_audit\pulled_code\nikitagajbhiye30__nvidia-cpu-00
stevanuso/nvidia-nemotron-training,82,0,0,15,0,0,9,0,4,8188,artifacts\v527_kaggle_code_audit\pulled_code\stevanuso__nvidia-nemotron-training
manhha25022005/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,81,1,1,11,2,0,9,0,5,13663,artifacts\v527_kaggle_code_audit\pulled_code\manhha25022005__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
renukaprasadpatwari/nvidia-nemotron-challenge,80,7,0,1,8,0,6,2,9,26553,artifacts\v527_kaggle_code_audit\pulled_code\renukaprasadpatwari__nvidia-nemotron-challenge
akankshathalla/nvidia-nemotron-final,79,0,0,16,1,0,5,0,1,7739,artifacts\v527_kaggle_code_audit\pulled_code\akankshathalla__nvidia-nemotron-final
esabellechen/nvidia-nemotron-training,78,0,0,14,0,1,7,0,3,8966,artifacts\v527_kaggle_code_audit\pulled_code\esabellechen__nvidia-nemotron-training
gracerockysavestars/uhaul,78,0,0,14,1,0,7,0,4,8833,artifacts\v527_kaggle_code_audit\pulled_code\gracerockysavestars__uhaul
codingyodha/ml-fano-gan-implementation,77,0,0,18,0,0,0,0,5,15433,artifacts\v527_kaggle_code_audit\pulled_code\codingyodha__ml-fano-gan-implementation
manderson240/nemotron-pure-symbolic-solver-v28,77,1,0,11,0,6,0,0,0,18036,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-pure-symbolic-solver-v28
manderson240/nemotron-pure-symbolic-solver-v33,77,1,0,11,0,6,0,0,0,18036,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-pure-symbolic-solver-v33
vhmbhjfhgdgfx/cct-qwen35-4b-test,76,0,0,13,3,0,3,0,6,27988,artifacts\v527_kaggle_code_audit\pulled_code\vhmbhjfhgdgfx__cct-qwen35-4b-test
optiminist/equation-eda-operator-operation-84-solve-rate,75,0,6,10,2,0,0,0,9,19671,artifacts\v527_kaggle_code_audit\pulled_code\optiminist__equation-eda-operator-operation-84-solve-rate
pauldumontunc/lora-training,75,0,0,13,0,0,10,0,3,11922,artifacts\v527_kaggle_code_audit\pulled_code\pauldumontunc__lora-training
trishanthmellimi/finding-nemo-v4-cot,75,0,0,13,0,0,7,0,9,7932,artifacts\v527_kaggle_code_audit\pulled_code\trishanthmellimi__finding-nemo-v4-cot
krupalpatel07/nemotron-model-1,74,0,0,13,0,0,5,3,9,7323,artifacts\v527_kaggle_code_audit\pulled_code\krupalpatel07__nemotron-model-1
mohamedamr992/easy-loading-of-nemotron-3,74,0,0,16,0,0,2,0,6,8982,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__easy-loading-of-nemotron-3
mirzayasirabdullah07/nvidia-nemotron-model-notebook,73,0,0,9,1,0,8,0,17,13393,artifacts\v527_kaggle_code_audit\pulled_code\mirzayasirabdullah07__nvidia-nemotron-model-notebook
include4eto/nvidia-nemotron-training,70,0,0,13,0,0,6,0,6,10057,artifacts\v527_kaggle_code_audit\pulled_code\include4eto__nvidia-nemotron-training
mtoshidesu/lora-nvidia-nemotron-models-with-pytorch,70,0,0,6,0,0,22,0,2,7972,artifacts\v527_kaggle_code_audit\pulled_code\mtoshidesu__lora-nvidia-nemotron-models-with-pytorch
rauffauzanrambe/lora-nvidia-nemotron-models-with-pytorch,70,0,0,6,0,0,22,0,2,7972,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-nvidia-nemotron-models-with-pytorch
elgorrimmohamed/nvidia-nemotron-model-reasoning-challenge,69,0,0,14,0,0,5,1,2,14471,artifacts\v527_kaggle_code_audit\pulled_code\elgorrimmohamed__nvidia-nemotron-model-reasoning-challenge
ductri0981/natural-fol-label,68,0,0,15,0,0,1,1,5,19749,artifacts\v527_kaggle_code_audit\pulled_code\ductri0981__natural-fol-label
luciankucera/ground-breaking-discovery-must-watch,68,5,0,5,0,5,0,7,1,6938,artifacts\v527_kaggle_code_audit\pulled_code\luciankucera__ground-breaking-discovery-must-watch
bloodymonday/eda-problem-families,67,0,0,12,2,0,1,0,9,17466,artifacts\v527_kaggle_code_audit\pulled_code\bloodymonday__eda-problem-families
uraniumdistilled/nvidia-nemotron-grpo-training,67,0,0,9,2,0,3,12,5,17354,artifacts\v527_kaggle_code_audit\pulled_code\uraniumdistilled__nvidia-nemotron-grpo-training
aminmahmoudalifayed/nvidia-golden,66,0,0,6,0,2,11,5,5,16250,artifacts\v527_kaggle_code_audit\pulled_code\aminmahmoudalifayed__nvidia-golden
dennisfong/nvidia-nemotron-sfttrainer-training,66,0,0,12,0,0,8,0,2,7126,artifacts\v527_kaggle_code_audit\pulled_code\dennisfong__nvidia-nemotron-sfttrainer-training
manderson240/nemotron-symbolic-solver-v36-fixed,66,2,0,4,1,7,0,0,5,8738,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-symbolic-solver-v36-fixed
robinhad/nvidia-nemotron-sfttrainer-training-97274f,66,0,0,12,0,0,8,0,2,7126,artifacts\v527_kaggle_code_audit\pulled_code\robinhad__nvidia-nemotron-sfttrainer-training-97274f
roddygreen/xx-0319,66,0,0,12,0,0,8,0,2,7125,artifacts\v527_kaggle_code_audit\pulled_code\roddygreen__xx-0319
waterjoe/nvidia-nemotron-mask-loss,66,0,0,12,0,0,8,0,2,7527,artifacts\v527_kaggle_code_audit\pulled_code\waterjoe__nvidia-nemotron-mask-loss
anhtran10/v0-mask-v3,64,0,0,8,6,0,4,0,0,19926,artifacts\v527_kaggle_code_audit\pulled_code\anhtran10__v0-mask-v3
skripsipesolmokelar/ln-global-runner-llama-norm,63,0,0,15,0,0,0,0,3,14600,artifacts\v527_kaggle_code_audit\pulled_code\skripsipesolmokelar__ln-global-runner-llama-norm
adv1102/notebookcc9dc9084a,62,0,0,10,1,0,6,0,6,8643,artifacts\v527_kaggle_code_audit\pulled_code\adv1102__notebookcc9dc9084a
dloc19/07-01-lightgbm,62,0,0,3,8,0,0,0,18,15440,artifacts\v527_kaggle_code_audit\pulled_code\dloc19__07-01-lightgbm
hngliththu/v0-mask-final-test,62,0,0,7,6,0,5,0,0,20981,artifacts\v527_kaggle_code_audit\pulled_code\hngliththu__v0-mask-final-test
jeromejoseph2026/sft-lora-unit-conversion,62,0,0,6,0,3,9,2,3,14816,artifacts\v527_kaggle_code_audit\pulled_code\jeromejoseph2026__sft-lora-unit-conversion
johnnyhyland/nvidia-nemotron-training,62,0,0,12,0,0,5,0,4,7705,artifacts\v527_kaggle_code_audit\pulled_code\johnnyhyland__nvidia-nemotron-training
richardjacob04/timekan-full-vivoice34,62,0,0,13,1,0,2,0,2,26507,artifacts\v527_kaggle_code_audit\pulled_code\richardjacob04__timekan-full-vivoice34
kodatirevanth/7-prompts-tested-which-one-wins,61,2,0,9,1,1,0,10,0,21430,artifacts\v527_kaggle_code_audit\pulled_code\kodatirevanth__7-prompts-tested-which-one-wins
anhtran10/cdsmote-test,60,0,0,9,0,0,12,0,0,10667,artifacts\v527_kaggle_code_audit\pulled_code\anhtran10__cdsmote-test
hngliththu/cdsmote-final-test1-1-1,60,0,0,9,0,0,12,0,0,10553,artifacts\v527_kaggle_code_audit\pulled_code\hngliththu__cdsmote-final-test1-1-1
devpateltech/notebookd7186e4fc9,58,0,0,8,0,0,8,4,6,7990,artifacts\v527_kaggle_code_audit\pulled_code\devpateltech__notebookd7186e4fc9
hiroshige1/start,57,0,0,10,0,0,7,0,3,6523,artifacts\v527_kaggle_code_audit\pulled_code\hiroshige1__start
revatidharmadhikari/revati-experiments-nvidia-nemotron-submission,56,0,0,6,0,0,13,0,6,13665,artifacts\v527_kaggle_code_audit\pulled_code\revatidharmadhikari__revati-experiments-nvidia-nemotron-submission
drchenb/nvidia-nemotron-trained-models-submission,54,0,0,0,0,0,26,0,2,6766,artifacts\v527_kaggle_code_audit\pulled_code\drchenb__nvidia-nemotron-trained-models-submission
haradibots/nemotron-3-nano-30b-a3,53,0,0,11,0,0,3,1,2,10449,artifacts\v527_kaggle_code_audit\pulled_code\haradibots__nemotron-3-nano-30b-a3
manderson240/nemotron-symbolic-solver-v33-production,53,2,0,3,1,6,0,0,1,7610,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-symbolic-solver-v33-production
khaquc123/m-nh-l-n-2,52,0,0,13,0,0,0,0,0,9707,artifacts\v527_kaggle_code_audit\pulled_code\khaquc123__m-nh-l-n-2
maithin123/m-nh-l-n-3,52,0,0,13,0,0,0,0,0,9707,artifacts\v527_kaggle_code_audit\pulled_code\maithin123__m-nh-l-n-3
mtoshidesu/nemotron-reasoning-made-simple-visual-starter,52,0,0,10,0,2,0,2,0,14518,artifacts\v527_kaggle_code_audit\pulled_code\mtoshidesu__nemotron-reasoning-made-simple-visual-starter
phanhuycng/lab-kto-vit5,52,0,0,0,6,0,1,12,14,13412,artifacts\v527_kaggle_code_audit\pulled_code\phanhuycng__lab-kto-vit5
sathvikreddy1287/notebook8f45059149,52,0,0,13,0,0,0,0,0,15597,artifacts\v527_kaggle_code_audit\pulled_code\sathvikreddy1287__notebook8f45059149
trnngclinh088/m-nh-l-n-1,52,0,0,13,0,0,0,0,0,9707,artifacts\v527_kaggle_code_audit\pulled_code\trnngclinh088__m-nh-l-n-1
vodung020905/lab-kto,52,0,0,0,6,0,1,12,14,12783,artifacts\v527_kaggle_code_audit\pulled_code\vodung020905__lab-kto
dennislanov/nvidia-nemotron-submission-demo,50,0,0,8,0,0,6,0,6,11429,artifacts\v527_kaggle_code_audit\pulled_code\dennislanov__nvidia-nemotron-submission-demo
kaggletrain2/nvidia-nemotron-submission-demo,49,0,0,12,0,0,0,0,1,7498,artifacts\v527_kaggle_code_audit\pulled_code\kaggletrain2__nvidia-nemotron-submission-demo
manderson240/nemotron-symbolic-solver-v32-competition-ready,49,1,0,4,0,6,0,0,0,6356,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-symbolic-solver-v32-competition-ready
hammadfarooq470/geometry-of-intelligence-svd-lora-art-compression,48,0,0,7,3,0,4,0,0,6223,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__geometry-of-intelligence-svd-lora-art-compression
phanhuycng/lab-cpo-ccaad7,48,0,0,0,9,0,1,0,10,8841,artifacts\v527_kaggle_code_audit\pulled_code\phanhuycng__lab-cpo-ccaad7
krishnapanjiyar123/nvidia-nemotron-submission-demo,47,0,0,7,0,0,7,0,5,9019,artifacts\v527_kaggle_code_audit\pulled_code\krishnapanjiyar123__nvidia-nemotron-submission-demo
nadiakhalid/nvidia-nemotron-model-reasoning,47,2,0,7,0,1,1,0,6,15473,artifacts\v527_kaggle_code_audit\pulled_code\nadiakhalid__nvidia-nemotron-model-reasoning
sakshatpatil25/nvidia-nemotron-submission-demo,47,0,0,7,0,0,7,0,5,9554,artifacts\v527_kaggle_code_audit\pulled_code\sakshatpatil25__nvidia-nemotron-submission-demo
vohuutridung/3930-sft-summarization-models,47,0,0,5,0,0,12,0,3,8496,artifacts\v527_kaggle_code_audit\pulled_code\vohuutridung__3930-sft-summarization-models
hammadfarooq470/nvidia-nemotron-trained-models-submission,46,0,0,0,0,0,22,0,2,2455,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-trained-models-submission
kienngx/nvidia-nemotron-trained-models-submission,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nvidia-nemotron-trained-models-submission
markjcooper/thk-public-fork-2026-05-14-v10-kienngx,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v10-kienngx
markjcooper/thk-public-fork-2026-05-14-v11-kienngx,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v11-kienngx
markjcooper/thk-public-fork-2026-05-14-v12-kienngx,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v12-kienngx
markjcooper/thk-public-fork-2026-05-14-v13-kienngx,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v13-kienngx
markjcooper/thk-public-fork-2026-05-14-v14-tinker-adapter,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v14-tinker-adapter
markjcooper/thk-public-fork-2026-05-15-v14-kienngx,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-15-v14-kienngx
rahuljiwane/nvidia-nemotron-rahul-jiwane,46,0,0,0,0,0,22,0,2,2455,artifacts\v527_kaggle_code_audit\pulled_code\rahuljiwane__nvidia-nemotron-rahul-jiwane
trnhquangminh140/nvidia-nemotron-model-reasoning-trinh-quang-minh,46,2,0,6,0,0,6,4,0,11872,artifacts\v527_kaggle_code_audit\pulled_code\trnhquangminh140__nvidia-nemotron-model-reasoning-trinh-quang-minh
afr1ste/nemotron-0-86-tinker-adapter-guide,45,0,0,8,0,0,6,0,1,9535,artifacts\v527_kaggle_code_audit\pulled_code\afr1ste__nemotron-0-86-tinker-adapter-guide
antonkratz/notebookdf0d07f28b,45,0,0,7,0,2,0,6,1,6905,artifacts\v527_kaggle_code_audit\pulled_code\antonkratz__notebookdf0d07f28b
shamathmika/nemotron-reasoning-challenge,45,4,1,3,0,0,8,0,2,11224,artifacts\v527_kaggle_code_audit\pulled_code\shamathmika__nemotron-reasoning-challenge
kodatirevanth/the-eda-nobody-did-yet,44,3,0,6,0,0,2,6,1,22556,artifacts\v527_kaggle_code_audit\pulled_code\kodatirevanth__the-eda-nobody-did-yet
nguyenduongtrong/fp8-bench-v5,44,0,0,10,0,0,2,0,0,4366,artifacts\v527_kaggle_code_audit\pulled_code\nguyenduongtrong__fp8-bench-v5
rauffauzanrambe/lora-autonomous-cot-engine,44,0,0,11,0,0,0,0,0,6216,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-autonomous-cot-engine
ththunyhunh/b-i-2-al,44,0,0,11,0,0,0,0,0,7350,artifacts\v527_kaggle_code_audit\pulled_code\ththunyhunh__b-i-2-al
