ref,title,score,bit_family,equation_family,bit_ops,equation_ops,solver,training,inference,safety,chars,path
sakhawathossen/nemotron-reasoning-boost-hf-qlora-trainer,Nemotron Reasoning Boost - HF QLoRA Trainer,92,0,0,16,0,2,7,0,4,16010,artifacts\v527_kaggle_code_audit\pulled_code\sakhawathossen__nemotron-reasoning-boost-hf-qlora-trainer
hammadfarooq470/nvidia-nemotron-reasoning,NVIDIA Nemotron Reasoning,91,0,0,14,2,0,7,10,3,16155,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-reasoning
ksk872/nvidia-initial,NVIDIA - initial,91,0,0,17,3,0,5,0,1,11888,artifacts\v527_kaggle_code_audit\pulled_code\ksk872__nvidia-initial
impooping/generate-cots-labels,Generate CoTs + Labels,88,1,0,21,0,0,0,0,1,6491,artifacts\v527_kaggle_code_audit\pulled_code\impooping__generate-cots-labels
rauffauzanrambe/nvidia-next-gen-reasoning-ai-for-deep-learning,NVIDIA Next-Gen Reasoning AI for Deep Learning,88,0,0,17,0,0,8,0,4,15825,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-next-gen-reasoning-ai-for-deep-learning
amanatar/nvidia-nemotron-sfttrainer-training,NVIDIA Nemotron - SFTTrainer training,86,0,0,15,0,0,12,0,2,14605,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nvidia-nemotron-sfttrainer-training
nhtdngtrn/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,Nemotron SFT LoRA with CoT (v2 prep now plz wait),85,1,1,12,2,0,9,0,5,14283,artifacts\v527_kaggle_code_audit\pulled_code\nhtdngtrn__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
xduan7/nemotron-moe-tied-lora-eval-scout,Nemotron MoE-Tied LoRA Eval Scout,85,3,1,3,3,2,0,29,10,10155,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-moe-tied-lora-eval-scout
jiazhuang/nemotron-mainstream-llm-performance-comparison,Nemotron Mainstream LLM Performance Comparison ,84,0,0,2,0,14,0,1,5,9654,artifacts\v527_kaggle_code_audit\pulled_code\jiazhuang__nemotron-mainstream-llm-performance-comparison
yashanathaniel/nvidia-nemotron-training,NVIDIA Nemotron - training,83,0,0,16,0,0,5,0,9,14004,artifacts\v527_kaggle_code_audit\pulled_code\yashanathaniel__nvidia-nemotron-training
nikitagajbhiye30/nvidia-cpu-00,NVIDIA CPU 00,82,6,5,4,0,6,1,0,1,15124,artifacts\v527_kaggle_code_audit\pulled_code\nikitagajbhiye30__nvidia-cpu-00
stevanuso/nvidia-nemotron-training,NVIDIA Nemotron Training,82,0,0,15,0,0,9,0,4,8188,artifacts\v527_kaggle_code_audit\pulled_code\stevanuso__nvidia-nemotron-training
manhha25022005/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,Nemotron SFT LoRA with CoT (v2 prep now plz wait),81,1,1,11,2,0,9,0,5,13663,artifacts\v527_kaggle_code_audit\pulled_code\manhha25022005__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
renukaprasadpatwari/nvidia-nemotron-challenge,Nvidia Nemotron Challenge,80,7,0,1,8,0,6,2,9,26553,artifacts\v527_kaggle_code_audit\pulled_code\renukaprasadpatwari__nvidia-nemotron-challenge
akankshathalla/nvidia-nemotron-final,NVIDIA Nemotron final,79,0,0,16,1,0,5,0,1,7739,artifacts\v527_kaggle_code_audit\pulled_code\akankshathalla__nvidia-nemotron-final
esabellechen/nvidia-nemotron-training,NVIDIA Nemotron Training,78,0,0,14,0,1,7,0,3,8966,artifacts\v527_kaggle_code_audit\pulled_code\esabellechen__nvidia-nemotron-training
manderson240/nemotron-pure-symbolic-solver-v28,Nemotron Pure Symbolic Solver v28,77,1,0,11,0,6,0,0,0,18036,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-pure-symbolic-solver-v28
manderson240/nemotron-pure-symbolic-solver-v33,Nemotron Pure Symbolic Solver v33,77,1,0,11,0,6,0,0,0,18036,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-pure-symbolic-solver-v33
optiminist/equation-eda-operator-operation-84-solve-rate,Equation EDA: Operator-Operation 84% Solve Rate,75,0,6,10,2,0,0,0,9,19671,artifacts\v527_kaggle_code_audit\pulled_code\optiminist__equation-eda-operator-operation-84-solve-rate
pauldumontunc/lora-training,LoRa Training,75,0,0,13,0,0,10,0,3,11922,artifacts\v527_kaggle_code_audit\pulled_code\pauldumontunc__lora-training
trishanthmellimi/finding-nemo-v4-cot,finding_nemo_v4_cot,75,0,0,13,0,0,7,0,9,7932,artifacts\v527_kaggle_code_audit\pulled_code\trishanthmellimi__finding-nemo-v4-cot
krupalpatel07/nemotron-model-1,Nemotron Model_1,74,0,0,13,0,0,5,3,9,7323,artifacts\v527_kaggle_code_audit\pulled_code\krupalpatel07__nemotron-model-1
mohamedamr992/easy-loading-of-nemotron-3,Easy_Loading_of_Nemotron_3,74,0,0,16,0,0,2,0,6,8982,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__easy-loading-of-nemotron-3
mirzayasirabdullah07/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,73,0,0,9,1,0,8,0,17,13393,artifacts\v527_kaggle_code_audit\pulled_code\mirzayasirabdullah07__nvidia-nemotron-model-notebook
include4eto/nvidia-nemotron-training,NVIDIA Nemotron - Training,70,0,0,13,0,0,6,0,6,10057,artifacts\v527_kaggle_code_audit\pulled_code\include4eto__nvidia-nemotron-training
mtoshidesu/lora-nvidia-nemotron-models-with-pytorch,LoRA Nvidia Nemotron Models with Pytorch,70,0,0,6,0,0,22,0,2,7972,artifacts\v527_kaggle_code_audit\pulled_code\mtoshidesu__lora-nvidia-nemotron-models-with-pytorch
rauffauzanrambe/lora-nvidia-nemotron-models-with-pytorch,LoRA Nvidia Nemotron Models with Pytorch,70,0,0,6,0,0,22,0,2,7972,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-nvidia-nemotron-models-with-pytorch
elgorrimmohamed/nvidia-nemotron-model-reasoning-challenge,nvidia-nemotron-model-reasoning-challenge,69,0,0,14,0,0,5,1,2,14471,artifacts\v527_kaggle_code_audit\pulled_code\elgorrimmohamed__nvidia-nemotron-model-reasoning-challenge
uraniumdistilled/nvidia-nemotron-grpo-training,NVIDIA Nemotron grpo training,67,0,0,9,2,0,3,12,5,17354,artifacts\v527_kaggle_code_audit\pulled_code\uraniumdistilled__nvidia-nemotron-grpo-training
aminmahmoudalifayed/nvidia-golden,🏆 NVIDIA – Golden,66,0,0,6,0,2,11,5,5,16250,artifacts\v527_kaggle_code_audit\pulled_code\aminmahmoudalifayed__nvidia-golden
dennisfong/nvidia-nemotron-sfttrainer-training,NVIDIA Nemotron - SFTTrainer training,66,0,0,12,0,0,8,0,2,7126,artifacts\v527_kaggle_code_audit\pulled_code\dennisfong__nvidia-nemotron-sfttrainer-training
manderson240/nemotron-symbolic-solver-v36-fixed,Nemotron Symbolic Solver v36 - Fixed,66,2,0,4,1,7,0,0,5,8738,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-symbolic-solver-v36-fixed
robinhad/nvidia-nemotron-sfttrainer-training-97274f,NVIDIA Nemotron - SFTTrainer training 97274f,66,0,0,12,0,0,8,0,2,7126,artifacts\v527_kaggle_code_audit\pulled_code\robinhad__nvidia-nemotron-sfttrainer-training-97274f
waterjoe/nvidia-nemotron-mask-loss,NVIDIA Nemotron - Mask Loss,66,0,0,12,0,0,8,0,2,7527,artifacts\v527_kaggle_code_audit\pulled_code\waterjoe__nvidia-nemotron-mask-loss
jeromejoseph2026/sft-lora-unit-conversion,sft_lora_unit_conversion,62,0,0,6,0,3,9,2,3,14816,artifacts\v527_kaggle_code_audit\pulled_code\jeromejoseph2026__sft-lora-unit-conversion
johnnyhyland/nvidia-nemotron-training,NVIDIA Nemotron - training,62,0,0,12,0,0,5,0,4,7705,artifacts\v527_kaggle_code_audit\pulled_code\johnnyhyland__nvidia-nemotron-training
revatidharmadhikari/revati-experiments-nvidia-nemotron-submission,Revati Experiments NVIDIA Nemotron Submission ,56,0,0,6,0,0,13,0,6,13665,artifacts\v527_kaggle_code_audit\pulled_code\revatidharmadhikari__revati-experiments-nvidia-nemotron-submission
drchenb/nvidia-nemotron-trained-models-submission,Nvidia Nemotron Trained Models Submission,54,0,0,0,0,0,26,0,2,6766,artifacts\v527_kaggle_code_audit\pulled_code\drchenb__nvidia-nemotron-trained-models-submission
haradibots/nemotron-3-nano-30b-a3,nemotron-3-nano-30b-a3,53,0,0,11,0,0,3,1,2,10449,artifacts\v527_kaggle_code_audit\pulled_code\haradibots__nemotron-3-nano-30b-a3
manderson240/nemotron-symbolic-solver-v33-production,Nemotron Symbolic Solver v33 - Production,53,2,0,3,1,6,0,0,1,7610,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-symbolic-solver-v33-production
mtoshidesu/nemotron-reasoning-made-simple-visual-starter,🚀 Nemotron Reasoning Made Simple — Visual Starter,52,0,0,10,0,2,0,2,0,14518,artifacts\v527_kaggle_code_audit\pulled_code\mtoshidesu__nemotron-reasoning-made-simple-visual-starter
dennislanov/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,50,0,0,8,0,0,6,0,6,11429,artifacts\v527_kaggle_code_audit\pulled_code\dennislanov__nvidia-nemotron-submission-demo
manderson240/nemotron-symbolic-solver-v32-competition-ready,Nemotron Symbolic Solver v32 - Competition Ready,49,1,0,4,0,6,0,0,0,6356,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-symbolic-solver-v32-competition-ready
hammadfarooq470/geometry-of-intelligence-svd-lora-art-compression,"Geometry of Intelligence: SVD,LoRA&Art Compression",48,0,0,7,3,0,4,0,0,6223,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__geometry-of-intelligence-svd-lora-art-compression
krishnapanjiyar123/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,47,0,0,7,0,0,7,0,5,9019,artifacts\v527_kaggle_code_audit\pulled_code\krishnapanjiyar123__nvidia-nemotron-submission-demo
nadiakhalid/nvidia-nemotron-model-reasoning,NVIDIA Nemotron Model Reasoning,47,2,0,7,0,1,1,0,6,15473,artifacts\v527_kaggle_code_audit\pulled_code\nadiakhalid__nvidia-nemotron-model-reasoning
sakshatpatil25/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,47,0,0,7,0,0,7,0,5,9554,artifacts\v527_kaggle_code_audit\pulled_code\sakshatpatil25__nvidia-nemotron-submission-demo
vohuutridung/3930-sft-summarization-models,[3930] sft summarization models,47,0,0,5,0,0,12,0,3,8496,artifacts\v527_kaggle_code_audit\pulled_code\vohuutridung__3930-sft-summarization-models
hammadfarooq470/nvidia-nemotron-trained-models-submission,Nvidia Nemotron Trained Models Submission,46,0,0,0,0,0,22,0,2,2455,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-trained-models-submission
kienngx/nvidia-nemotron-trained-models-submission,Nvidia Nemotron Trained Models Submission,46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nvidia-nemotron-trained-models-submission
markjcooper/thk-public-fork-2026-05-14-v14-tinker-adapter,THK public fork 2026-05-14 (v14 tinker-adapter),46,0,0,0,0,0,22,0,2,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v14-tinker-adapter
rahuljiwane/nvidia-nemotron-rahul-jiwane,Nvidia Nemotron : Rahul Jiwane,46,0,0,0,0,0,22,0,2,2455,artifacts\v527_kaggle_code_audit\pulled_code\rahuljiwane__nvidia-nemotron-rahul-jiwane
trnhquangminh140/nvidia-nemotron-model-reasoning-trinh-quang-minh,NVIDIA Nemotron Model Reasoning_Trinh Quang Minh,46,2,0,6,0,0,6,4,0,11872,artifacts\v527_kaggle_code_audit\pulled_code\trnhquangminh140__nvidia-nemotron-model-reasoning-trinh-quang-minh
afr1ste/nemotron-0-86-tinker-adapter-guide,Nemotron 0.86 Tinker Adapter Guide,45,0,0,8,0,0,6,0,1,9535,artifacts\v527_kaggle_code_audit\pulled_code\afr1ste__nemotron-0-86-tinker-adapter-guide
shamathmika/nemotron-reasoning-challenge,Nemotron-Reasoning-Challenge,45,4,1,3,0,0,8,0,2,11224,artifacts\v527_kaggle_code_audit\pulled_code\shamathmika__nemotron-reasoning-challenge
ulyanovantonamaranta/nemotron-huikang-tinker27-repro,Nemotron Huikang Tinker27 Repro,44,0,0,5,0,0,6,0,12,6074,artifacts\v527_kaggle_code_audit\pulled_code\ulyanovantonamaranta__nemotron-huikang-tinker27-repro
avikdas567/retrieval-pattern-reasoning-pipeline-for-nemotron,Retrieval Pattern Reasoning Pipeline for Nemotron,41,0,0,6,0,3,1,0,0,4528,artifacts\v527_kaggle_code_audit\pulled_code\avikdas567__retrieval-pattern-reasoning-pipeline-for-nemotron
privatepiecerec/nemotron-reasoning-task-family-tour,Nemotron Reasoning: Task Family Tour,41,6,1,4,1,0,0,0,0,7789,artifacts\v527_kaggle_code_audit\pulled_code\privatepiecerec__nemotron-reasoning-task-family-tour
syu21125/nemotron-v15-huikang-085-fixed-v5,Nemotron v15 huikang 085 fixed v5,39,0,0,5,0,0,8,1,2,3528,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-v15-huikang-085-fixed-v5
franekwodarczyk/nvidia-nemotron-model-reasoning-by-me-0-6-score,NVIDIA Nemotron Model Reasoning by me 0.6 score,38,2,0,2,0,0,10,2,2,21355,artifacts\v527_kaggle_code_audit\pulled_code\franekwodarczyk__nvidia-nemotron-model-reasoning-by-me-0-6-score
jek1wantaufik/nvidia-nemotron-model-reasoning-challenge,NVIDIA Nemotron Model Reasoning Challenge,37,0,0,7,0,0,4,0,1,6214,artifacts\v527_kaggle_code_audit\pulled_code\jek1wantaufik__nvidia-nemotron-model-reasoning-challenge
ritikroshan4857/nvidia-nemotron-model-reasoning-challenge,NVIDIA Nemotron Model Reasoning Challenge,37,0,0,7,0,0,4,0,1,6214,artifacts\v527_kaggle_code_audit\pulled_code\ritikroshan4857__nvidia-nemotron-model-reasoning-challenge
esaaak/nemotron-3-nano-30b-starter-lora-fine-tuning,Nemotron-3-Nano-30B: Starter LoRA Fine-Tuning 🚀,36,0,0,4,0,0,8,4,0,10490,artifacts\v527_kaggle_code_audit\pulled_code\esaaak__nemotron-3-nano-30b-starter-lora-fine-tuning
rauffauzanrambe/nvidia-nemotron-trained-meachine-learning,NVIDIA Nemotron Trained Meachine Learning ,36,0,0,4,0,0,10,0,0,4156,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-nemotron-trained-meachine-learning
shrikantmalagi/nvidia-nemotron-model-reasoning-challenge,NVIDIA Nemotron Model Reasoning Challenge,36,3,0,4,0,0,5,0,1,11847,artifacts\v527_kaggle_code_audit\pulled_code\shrikantmalagi__nvidia-nemotron-model-reasoning-challenge
vodung020905/3930-sft-summarization-models,[3930] sft summarization models,36,0,0,5,0,0,7,0,2,8099,artifacts\v527_kaggle_code_audit\pulled_code\vodung020905__3930-sft-summarization-models
haradibots/nvidia-nemotron,NVIDIA Nemotron,35,0,0,7,0,0,3,0,1,5279,artifacts\v527_kaggle_code_audit\pulled_code\haradibots__nvidia-nemotron
chaitanyajamble/nvidia-nmrc-4,Nvidia-NMRC--4,34,0,0,5,1,1,2,0,1,11759,artifacts\v527_kaggle_code_audit\pulled_code\chaitanyajamble__nvidia-nmrc-4
kanakasarat1/lora-adapter-fusion-and-rank-compression-pipeline,LoRA Adapter Fusion and Rank Compression Pipeline ,34,0,0,4,3,0,2,0,2,6715,artifacts\v527_kaggle_code_audit\pulled_code\kanakasarat1__lora-adapter-fusion-and-rank-compression-pipeline
rauffauzanrambe/lora-adapter-fusion-and-rank-compression-pipeline,LoRA Adapter Fusion and Rank Compression Pipeline ,34,0,0,4,3,0,2,0,2,6715,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-adapter-fusion-and-rank-compression-pipeline
david01szu/nemotron-soft-balanced-sampling-sft,Nemotron Soft-Balanced Sampling SFT,33,0,0,3,0,0,9,2,1,5917,artifacts\v527_kaggle_code_audit\pulled_code\david01szu__nemotron-soft-balanced-sampling-sft
rdn2k00/cot-preprocessing,"CoT, Preprocessing",31,0,0,5,0,2,0,1,0,6349,artifacts\v527_kaggle_code_audit\pulled_code\rdn2k00__cot-preprocessing
syu21125/nemotron-dgxchen-085-submit,Nemotron dgxchen 085 submit,31,0,0,3,0,0,8,1,2,3994,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-dgxchen-085-submit
syu21125/nemotron-kienngx-2400-submit,Nemotron kienngx 2400 submit,31,0,0,3,0,0,8,1,2,3996,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-kienngx-2400-submit
syu21125/nemotron-kienngx-tinker-submit,Nemotron kienngx tinker submit,31,0,0,3,0,0,8,1,2,4000,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-kienngx-tinker-submit
syu21125/nemotron-v39-huikang-reasoning-sft-submit,Nemotron v39 huikang reasoning sft submit,31,0,0,3,0,0,8,1,2,4002,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-v39-huikang-reasoning-sft-submit
ringustheimp/tinker-w-svd-rank-16,Tinker w/ SVD & Rank 16,29,0,0,2,3,0,3,0,3,3692,artifacts\v527_kaggle_code_audit\pulled_code\ringustheimp__tinker-w-svd-rank-16
khanshakir14/competition-nvidia,Competition_NVIDIA,28,2,0,1,3,0,3,0,0,13676,artifacts\v527_kaggle_code_audit\pulled_code\khanshakir14__competition-nvidia
alexxxsem/nemotron-simple-offline-working-demo,Nemotron Simple Offline Working Demo,27,0,0,3,0,0,7,0,1,4578,artifacts\v527_kaggle_code_audit\pulled_code\alexxxsem__nemotron-simple-offline-working-demo
sanjaysuthraye96/exploratory-data-analysis-nvidia-nemotron,Exploratory Data Analysis - NVIDIA Nemotron,27,3,2,3,0,0,0,0,0,6522,artifacts\v527_kaggle_code_audit\pulled_code\sanjaysuthraye96__exploratory-data-analysis-nvidia-nemotron
syu21125/nemotron-v15-huikang-085-submission,Nemotron v15 huikang 085 Submission,27,0,0,6,0,0,1,0,1,3076,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-v15-huikang-085-submission
suryamilenial/fork-of-fork-of-fork-of-nvidia-nemotron-mod-4291c4,Fork of Fork of Fork of NVIDIA Nemotron Mod 4291c4,26,0,0,5,0,0,3,0,0,5649,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__fork-of-fork-of-fork-of-nvidia-nemotron-mod-4291c4
amlear/tinker-adapter-solved-some-internet-issues,Tinker Adapter (Solved Some Internet issues),25,0,0,2,3,0,2,0,1,3762,artifacts\v527_kaggle_code_audit\pulled_code\amlear__tinker-adapter-solved-some-internet-issues
asalhi/tinker-adapter-to-ready-to-submit-adapter,Tinker Adapter to Ready To Submit Adapter,25,0,0,2,3,0,2,0,1,3484,artifacts\v527_kaggle_code_audit\pulled_code\asalhi__tinker-adapter-to-ready-to-submit-adapter
hammadfarooq470/think-twice-self-correcting-reasoning,Think Twice: Self-Correcting Reasoning,25,0,0,2,3,0,2,0,1,3691,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__think-twice-self-correcting-reasoning
kaziaishikuzzaman/end-to-end-finetuning-for-nemotron,End-to-end finetuning for Nemotron,25,0,0,2,3,0,2,0,1,4724,artifacts\v527_kaggle_code_audit\pulled_code\kaziaishikuzzaman__end-to-end-finetuning-for-nemotron
llccqq624/nvidia-nemotron-tinker-adapter-notebook,NVIDIA Nemotron Tinker Adapter Notebook,25,0,0,2,3,0,2,0,1,3762,artifacts\v527_kaggle_code_audit\pulled_code\llccqq624__nvidia-nemotron-tinker-adapter-notebook
michaelkong537/tinker-adapter-solved-some-internet-issues,Tinker Adapter (Solved Some Internet issues),25,0,0,2,3,0,2,0,1,3762,artifacts\v527_kaggle_code_audit\pulled_code\michaelkong537__tinker-adapter-solved-some-internet-issues
bloodmoonwq/fork-of-nemotron-tinker-adapter-repro-c9ee4-15cc8c,Fork of Nemotron Tinker Adapter Repro c9ee4 15cc8c,24,0,0,5,0,0,2,0,0,3238,artifacts\v527_kaggle_code_audit\pulled_code\bloodmoonwq__fork-of-nemotron-tinker-adapter-repro-c9ee4-15cc8c
nrapendraiec/nvidia-nemotron,nvidia_nemotron,24,0,0,2,0,0,7,0,2,7367,artifacts\v527_kaggle_code_audit\pulled_code\nrapendraiec__nvidia-nemotron
suryamilenial/fork-of-nvidia-nemotron-model-notebook,Fork of NVIDIA Nemotron Model Notebook,24,0,0,5,0,0,2,0,0,5280,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__fork-of-nvidia-nemotron-model-notebook
suryamilenial/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,24,0,0,5,0,0,2,0,0,5280,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__nvidia-nemotron-model-notebook
syu21125/nemotron-path-d-tinker-conversion,Nemotron Path D Tinker Conversion,23,0,0,1,3,0,2,2,1,3960,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-path-d-tinker-conversion
rdn2k00/nemotron-qlora,"Nemotron, QLoRA",22,0,0,1,0,0,9,0,0,2387,artifacts\v527_kaggle_code_audit\pulled_code\rdn2k00__nemotron-qlora
dhruvb2028/tinker-adapter-ready-to-submit-adapter,Tinker Adapter Ready To Submit Adapter,21,0,0,1,3,0,2,0,1,3893,artifacts\v527_kaggle_code_audit\pulled_code\dhruvb2028__tinker-adapter-ready-to-submit-adapter
kunrittyhe/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,21,0,0,2,0,0,6,0,1,5543,artifacts\v527_kaggle_code_audit\pulled_code\kunrittyhe__nvidia-nemotron-submission-demo
manderson240/nemotron-lora-v41-training-all-data,Nemotron LoRA v41 Training All Data,21,0,0,2,0,0,6,0,1,4070,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-lora-v41-training-all-data
mebbbbbbius/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,21,1,0,4,0,0,1,0,0,15173,artifacts\v527_kaggle_code_audit\pulled_code\mebbbbbbius__nvidia-nemotron-submission-demo
nidhish1010/nvidia-nemotron-submission-demo-c37b25,NVIDIA Nemotron Submission Demo c37b25,21,1,0,1,0,0,6,0,2,5760,artifacts\v527_kaggle_code_audit\pulled_code\nidhish1010__nvidia-nemotron-submission-demo-c37b25
raunakdey07/nemotron-tinker-adapter,Nemotron Tinker Adapter,21,0,0,1,3,0,2,0,1,3515,artifacts\v527_kaggle_code_audit\pulled_code\raunakdey07__nemotron-tinker-adapter
rlaajgus/nemotron-0430-1445,Nemotron_0430_1445,21,0,0,0,0,0,10,0,1,6540,artifacts\v527_kaggle_code_audit\pulled_code\rlaajgus__nemotron-0430-1445
mohithramesh/nemotron-training,Nemotron Training,20,0,0,2,0,0,5,0,2,7978,artifacts\v527_kaggle_code_audit\pulled_code\mohithramesh__nemotron-training
krupalpatel07/advanced-nemotron-model-2,Advanced Nemotron Model_2,18,0,0,3,0,0,2,1,1,4790,artifacts\v527_kaggle_code_audit\pulled_code\krupalpatel07__advanced-nemotron-model-2
muhammadshoaibaltaf/nvidia-nemotron-model-simple-version-1,NVIDIA NEMOTRON MODEL SIMPLE VERSION-1,18,0,0,2,0,0,4,0,2,5263,artifacts\v527_kaggle_code_audit\pulled_code\muhammadshoaibaltaf__nvidia-nemotron-model-simple-version-1
edyvision/nvidia-nemotron-submission-demo-w-blackwell-patch,NVIDIA Nemotron Submission Demo w/ Blackwell Patch,17,0,0,1,0,0,6,0,1,7093,artifacts\v527_kaggle_code_audit\pulled_code\edyvision__nvidia-nemotron-submission-demo-w-blackwell-patch
yashashavdk/nemotron-training-dl-class-cmpe258-assignment,nemotron-training-dl-class-cmpe258-assignment,17,0,0,0,0,0,6,0,5,4512,artifacts\v527_kaggle_code_audit\pulled_code\yashashavdk__nemotron-training-dl-class-cmpe258-assignment
hammadfarooq470/nvidia-nemotron-model-reasoning-0-68,NVIDIA Nemotron Model Reasoning 0.68,16,0,0,3,0,0,2,0,0,3638,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-model-reasoning-0-68
jek1wantaufik/nvidia-nemotron-model-reasoning-0-68,NVIDIA Nemotron Model Reasoning 0.68,16,0,0,3,0,0,2,0,0,3700,artifacts\v527_kaggle_code_audit\pulled_code\jek1wantaufik__nvidia-nemotron-model-reasoning-0-68
david01szu/simple-nemotron-baseline,Simple Nemotron Baseline,15,1,0,3,0,0,0,0,0,1283,artifacts\v527_kaggle_code_audit\pulled_code\david01szu__simple-nemotron-baseline
ramyagopalaswamy/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,13,0,0,1,0,0,4,0,1,6491,artifacts\v527_kaggle_code_audit\pulled_code\ramyagopalaswamy__nvidia-nemotron-submission-demo
rishabhshukla111/notebookneotronreasoningmodel,notebookneotronreasoningmodel,13,0,0,0,0,0,5,2,1,6069,artifacts\v527_kaggle_code_audit\pulled_code\rishabhshukla111__notebookneotronreasoningmodel
rohansan1/nemotron-reasoning-lora-solution-writeup,Nemotron Reasoning LoRA Solution Writeup,11,0,0,1,0,0,1,1,4,8877,artifacts\v527_kaggle_code_audit\pulled_code\rohansan1__nemotron-reasoning-lora-solution-writeup
cryptdragon/nemotron-30b-deterministic-solvers-cot-fine-tu,Nemotron 30B | Deterministic Solvers + CoT Fine-Tu,10,0,0,0,0,0,5,0,0,2287,artifacts\v527_kaggle_code_audit\pulled_code\cryptdragon__nemotron-30b-deterministic-solvers-cot-fine-tu
dhruvb2028/nemotron-comp,Nemotron Comp,10,0,0,1,0,0,3,0,0,6632,artifacts\v527_kaggle_code_audit\pulled_code\dhruvb2028__nemotron-comp
evgendvorkin/nemotron-3-nano-lora-adapter-submission,Nemotron-3 Nano: LoRA Adapter Submission,10,2,0,0,0,0,1,0,2,6948,artifacts\v527_kaggle_code_audit\pulled_code\evgendvorkin__nemotron-3-nano-lora-adapter-submission
jeanfranciscodasilva/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,10,0,0,0,0,0,5,0,0,1443,artifacts\v527_kaggle_code_audit\pulled_code\jeanfranciscodasilva__nvidia-nemotron-submission-demo
kanakasarat1/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,10,0,0,0,0,0,5,0,0,1589,artifacts\v527_kaggle_code_audit\pulled_code\kanakasarat1__nvidia-nemotron-submission-demo
m1ndthegap/nemotron-lora-script-submission,Nemotron LoRA Script Submission,10,0,0,0,0,0,5,0,0,2052,artifacts\v527_kaggle_code_audit\pulled_code\m1ndthegap__nemotron-lora-script-submission
parthgala07/nvidia-nemotron-submission-training-1,NVIDIA Nemotron Submission Training 1,10,0,0,0,0,0,5,0,0,1498,artifacts\v527_kaggle_code_audit\pulled_code\parthgala07__nvidia-nemotron-submission-training-1
ryanholbrook/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,10,0,0,0,0,0,5,0,0,1589,artifacts\v527_kaggle_code_audit\pulled_code\ryanholbrook__nvidia-nemotron-submission-demo
rahulchauhan016/nemotron-lora-reasoning-pipeline,Nemotron LoRA Reasoning Pipeline,9,0,0,0,0,0,4,0,1,6080,artifacts\v527_kaggle_code_audit\pulled_code\rahulchauhan016__nemotron-lora-reasoning-pipeline
